Issue Type,Summary,Description,Priority,Labels,Test Steps,Test Data,Expected Result,Status
Test,VWO - Funnel Analysis: Verify user can toggle dashboard widget - ID_0157,This test case validates the toggle functionality for the dashboard widget component within the Funnel Analysis module of app.vwo.com.,High,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Toggle action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 2759",The dashboard widget should be successfully toggleed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Account Settings: Verify user can toggle api key - ID_0158,This test case validates the toggle functionality for the api key component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Toggle action on API Key
4. Verify success message","user_role: admin, component_id: 2563",The api key should be successfully toggleed and reflected in the Account Settings dashboard.,To Do
Test,VWO - Integrations: Verify user can view segment - ID_0159,This test case validates the view functionality for the segment component within the Integrations module of app.vwo.com.,Medium,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform View action on Segment
4. Verify success message","user_role: admin, component_id: 4489",The segment should be successfully viewed and reflected in the Integrations dashboard.,To Do
Test,VWO - Account Settings: Verify user can export goal - ID_0160,This test case validates the export functionality for the goal component within the Account Settings module of app.vwo.com.,Low,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 7707",The goal should be successfully exported and reflected in the Account Settings dashboard.,To Do
Test,VWO - Session Recordings: Verify user can export goal - ID_0161,This test case validates the export functionality for the goal component within the Session Recordings module of app.vwo.com.,High,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 7574",The goal should be successfully exported and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Signup: Verify user can toggle snapshot - ID_0162,This test case validates the toggle functionality for the snapshot component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Toggle action on Snapshot
4. Verify success message","user_role: admin, component_id: 1351",The snapshot should be successfully toggleed and reflected in the Signup dashboard.,To Do
Test,VWO - Login: Verify user can delete campaign - ID_0163,This test case validates the delete functionality for the campaign component within the Login module of app.vwo.com.,Medium,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Delete action on Campaign
4. Verify success message","user_role: admin, component_id: 1145",The campaign should be successfully deleteed and reflected in the Login dashboard.,To Do
Test,VWO - Account Settings: Verify user can delete snapshot - ID_0164,This test case validates the delete functionality for the snapshot component within the Account Settings module of app.vwo.com.,Low,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Delete action on Snapshot
4. Verify success message","user_role: admin, component_id: 9088",The snapshot should be successfully deleteed and reflected in the Account Settings dashboard.,To Do
Test,VWO - Integrations: Verify user can toggle dashboard widget - ID_0165,This test case validates the toggle functionality for the dashboard widget component within the Integrations module of app.vwo.com.,Medium,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Toggle action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 3861",The dashboard widget should be successfully toggleed and reflected in the Integrations dashboard.,To Do
Test,VWO - Heatmaps: Verify user can create variation - ID_0166,This test case validates the create functionality for the variation component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Create action on Variation
4. Verify success message","user_role: admin, component_id: 7058",The variation should be successfully createed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can create api key - ID_0167,This test case validates the create functionality for the api key component within the Funnel Analysis module of app.vwo.com.,High,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Create action on API Key
4. Verify success message","user_role: admin, component_id: 4159",The api key should be successfully createed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Session Recordings: Verify user can delete campaign - ID_0168,This test case validates the delete functionality for the campaign component within the Session Recordings module of app.vwo.com.,Low,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Delete action on Campaign
4. Verify success message","user_role: admin, component_id: 3310",The campaign should be successfully deleteed and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Signup: Verify user can create user role - ID_0169,This test case validates the create functionality for the user role component within the Signup module of app.vwo.com.,Medium,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Create action on User Role
4. Verify success message","user_role: admin, component_id: 5017",The user role should be successfully createed and reflected in the Signup dashboard.,To Do
Test,VWO - Surveys: Verify user can toggle goal - ID_0170,This test case validates the toggle functionality for the goal component within the Surveys module of app.vwo.com.,Medium,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Toggle action on Goal
4. Verify success message","user_role: admin, component_id: 8582",The goal should be successfully toggleed and reflected in the Surveys dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can toggle goal - ID_0171,This test case validates the toggle functionality for the goal component within the Funnel Analysis module of app.vwo.com.,High,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Toggle action on Goal
4. Verify success message","user_role: admin, component_id: 5099",The goal should be successfully toggleed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Integrations: Verify user can export segment - ID_0172,This test case validates the export functionality for the segment component within the Integrations module of app.vwo.com.,Medium,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Export action on Segment
4. Verify success message","user_role: admin, component_id: 9200",The segment should be successfully exported and reflected in the Integrations dashboard.,To Do
Test,VWO - Heatmaps: Verify user can delete variation - ID_0173,This test case validates the delete functionality for the variation component within the Heatmaps module of app.vwo.com.,Medium,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Delete action on Variation
4. Verify success message","user_role: admin, component_id: 8957",The variation should be successfully deleteed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Signup: Verify user can search campaign - ID_0174,This test case validates the search functionality for the campaign component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Search action on Campaign
4. Verify success message","user_role: admin, component_id: 3681",The campaign should be successfully searched and reflected in the Signup dashboard.,To Do
Test,VWO - Session Recordings: Verify user can export variation - ID_0175,This test case validates the export functionality for the variation component within the Session Recordings module of app.vwo.com.,Low,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Export action on Variation
4. Verify success message","user_role: admin, component_id: 7722",The variation should be successfully exported and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Login: Verify user can view variation - ID_0176,This test case validates the view functionality for the variation component within the Login module of app.vwo.com.,Low,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform View action on Variation
4. Verify success message","user_role: admin, component_id: 6360",The variation should be successfully viewed and reflected in the Login dashboard.,To Do
Test,VWO - Session Recordings: Verify user can view variation - ID_0177,This test case validates the view functionality for the variation component within the Session Recordings module of app.vwo.com.,Medium,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform View action on Variation
4. Verify success message","user_role: admin, component_id: 4873",The variation should be successfully viewed and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Signup: Verify user can toggle segment - ID_0178,This test case validates the toggle functionality for the segment component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Toggle action on Segment
4. Verify success message","user_role: admin, component_id: 2680",The segment should be successfully toggleed and reflected in the Signup dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can edit user role - ID_0179,This test case validates the edit functionality for the user role component within the Funnel Analysis module of app.vwo.com.,Medium,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Edit action on User Role
4. Verify success message","user_role: admin, component_id: 5621",The user role should be successfully edited and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - A/B Testing: Verify user can toggle campaign - ID_0180,This test case validates the toggle functionality for the campaign component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Toggle action on Campaign
4. Verify success message","user_role: admin, component_id: 3419",The campaign should be successfully toggleed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can search api key - ID_0181,This test case validates the search functionality for the api key component within the Funnel Analysis module of app.vwo.com.,Low,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Search action on API Key
4. Verify success message","user_role: admin, component_id: 9469",The api key should be successfully searched and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Login: Verify user can filter user role - ID_0182,This test case validates the filter functionality for the user role component within the Login module of app.vwo.com.,Medium,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Filter action on User Role
4. Verify success message","user_role: admin, component_id: 4150",The user role should be successfully filtered and reflected in the Login dashboard.,To Do
Test,VWO - Surveys: Verify user can export api key - ID_0183,This test case validates the export functionality for the api key component within the Surveys module of app.vwo.com.,High,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Export action on API Key
4. Verify success message","user_role: admin, component_id: 4832",The api key should be successfully exported and reflected in the Surveys dashboard.,To Do
Test,VWO - Heatmaps: Verify user can delete variation - ID_0184,This test case validates the delete functionality for the variation component within the Heatmaps module of app.vwo.com.,High,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Delete action on Variation
4. Verify success message","user_role: admin, component_id: 1243",The variation should be successfully deleteed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Signup: Verify user can edit segment - ID_0185,This test case validates the edit functionality for the segment component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Edit action on Segment
4. Verify success message","user_role: admin, component_id: 4043",The segment should be successfully edited and reflected in the Signup dashboard.,To Do
Test,VWO - Account Settings: Verify user can filter api key - ID_0186,This test case validates the filter functionality for the api key component within the Account Settings module of app.vwo.com.,Low,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Filter action on API Key
4. Verify success message","user_role: admin, component_id: 3296",The api key should be successfully filtered and reflected in the Account Settings dashboard.,To Do
Test,VWO - Integrations: Verify user can create goal - ID_0187,This test case validates the create functionality for the goal component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Create action on Goal
4. Verify success message","user_role: admin, component_id: 5381",The goal should be successfully createed and reflected in the Integrations dashboard.,To Do
Test,VWO - Account Settings: Verify user can edit dashboard widget - ID_0188,This test case validates the edit functionality for the dashboard widget component within the Account Settings module of app.vwo.com.,High,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Edit action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 1802",The dashboard widget should be successfully edited and reflected in the Account Settings dashboard.,To Do
Test,VWO - Integrations: Verify user can export api key - ID_0189,This test case validates the export functionality for the api key component within the Integrations module of app.vwo.com.,Medium,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Export action on API Key
4. Verify success message","user_role: admin, component_id: 3925",The api key should be successfully exported and reflected in the Integrations dashboard.,To Do
Test,VWO - A/B Testing: Verify user can filter snapshot - ID_0190,This test case validates the filter functionality for the snapshot component within the A/B Testing module of app.vwo.com.,Medium,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Filter action on Snapshot
4. Verify success message","user_role: admin, component_id: 3028",The snapshot should be successfully filtered and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Integrations: Verify user can toggle api key - ID_0191,This test case validates the toggle functionality for the api key component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Toggle action on API Key
4. Verify success message","user_role: admin, component_id: 3019",The api key should be successfully toggleed and reflected in the Integrations dashboard.,To Do
Test,VWO - Signup: Verify user can delete goal - ID_0192,This test case validates the delete functionality for the goal component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Delete action on Goal
4. Verify success message","user_role: admin, component_id: 7785",The goal should be successfully deleteed and reflected in the Signup dashboard.,To Do
Test,VWO - Login: Verify user can create user role - ID_0193,This test case validates the create functionality for the user role component within the Login module of app.vwo.com.,Critical,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Create action on User Role
4. Verify success message","user_role: admin, component_id: 4559",The user role should be successfully createed and reflected in the Login dashboard.,To Do
Test,VWO - Account Settings: Verify user can filter dashboard widget - ID_0194,This test case validates the filter functionality for the dashboard widget component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Filter action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 3568",The dashboard widget should be successfully filtered and reflected in the Account Settings dashboard.,To Do
Test,VWO - Account Settings: Verify user can edit api key - ID_0195,This test case validates the edit functionality for the api key component within the Account Settings module of app.vwo.com.,High,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Edit action on API Key
4. Verify success message","user_role: admin, component_id: 9169",The api key should be successfully edited and reflected in the Account Settings dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can toggle api key - ID_0196,This test case validates the toggle functionality for the api key component within the Funnel Analysis module of app.vwo.com.,Low,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Toggle action on API Key
4. Verify success message","user_role: admin, component_id: 6458",The api key should be successfully toggleed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Login: Verify user can export campaign - ID_0197,This test case validates the export functionality for the campaign component within the Login module of app.vwo.com.,Critical,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Export action on Campaign
4. Verify success message","user_role: admin, component_id: 9274",The campaign should be successfully exported and reflected in the Login dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can delete user role - ID_0198,This test case validates the delete functionality for the user role component within the Funnel Analysis module of app.vwo.com.,Critical,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Delete action on User Role
4. Verify success message","user_role: admin, component_id: 7163",The user role should be successfully deleteed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Integrations: Verify user can view api key - ID_0199,This test case validates the view functionality for the api key component within the Integrations module of app.vwo.com.,Critical,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform View action on API Key
4. Verify success message","user_role: admin, component_id: 5068",The api key should be successfully viewed and reflected in the Integrations dashboard.,To Do
Test,VWO - Signup: Verify user can export api key - ID_0200,This test case validates the export functionality for the api key component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Export action on API Key
4. Verify success message","user_role: admin, component_id: 4794",The api key should be successfully exported and reflected in the Signup dashboard.,To Do
Test,VWO - Signup: Verify user can edit goal - ID_0201,This test case validates the edit functionality for the goal component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Edit action on Goal
4. Verify success message","user_role: admin, component_id: 3511",The goal should be successfully edited and reflected in the Signup dashboard.,To Do
Test,VWO - Integrations: Verify user can export dashboard widget - ID_0202,This test case validates the export functionality for the dashboard widget component within the Integrations module of app.vwo.com.,High,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Export action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 5356",The dashboard widget should be successfully exported and reflected in the Integrations dashboard.,To Do
Test,VWO - Signup: Verify user can edit goal - ID_0203,This test case validates the edit functionality for the goal component within the Signup module of app.vwo.com.,Medium,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Edit action on Goal
4. Verify success message","user_role: admin, component_id: 2222",The goal should be successfully edited and reflected in the Signup dashboard.,To Do
Test,VWO - Signup: Verify user can export goal - ID_0204,This test case validates the export functionality for the goal component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 5468",The goal should be successfully exported and reflected in the Signup dashboard.,To Do
Test,VWO - Signup: Verify user can export segment - ID_0205,This test case validates the export functionality for the segment component within the Signup module of app.vwo.com.,Critical,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Export action on Segment
4. Verify success message","user_role: admin, component_id: 4325",The segment should be successfully exported and reflected in the Signup dashboard.,To Do
Test,VWO - A/B Testing: Verify user can delete api key - ID_0206,This test case validates the delete functionality for the api key component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Delete action on API Key
4. Verify success message","user_role: admin, component_id: 2684",The api key should be successfully deleteed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Surveys: Verify user can edit campaign - ID_0207,This test case validates the edit functionality for the campaign component within the Surveys module of app.vwo.com.,High,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Edit action on Campaign
4. Verify success message","user_role: admin, component_id: 5640",The campaign should be successfully edited and reflected in the Surveys dashboard.,To Do
Test,VWO - Integrations: Verify user can delete segment - ID_0208,This test case validates the delete functionality for the segment component within the Integrations module of app.vwo.com.,High,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Delete action on Segment
4. Verify success message","user_role: admin, component_id: 1108",The segment should be successfully deleteed and reflected in the Integrations dashboard.,To Do
Test,VWO - Heatmaps: Verify user can create user role - ID_0209,This test case validates the create functionality for the user role component within the Heatmaps module of app.vwo.com.,High,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Create action on User Role
4. Verify success message","user_role: admin, component_id: 5069",The user role should be successfully createed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Login: Verify user can edit goal - ID_0210,This test case validates the edit functionality for the goal component within the Login module of app.vwo.com.,Low,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Edit action on Goal
4. Verify success message","user_role: admin, component_id: 7563",The goal should be successfully edited and reflected in the Login dashboard.,To Do
Test,VWO - Integrations: Verify user can create goal - ID_0211,This test case validates the create functionality for the goal component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Create action on Goal
4. Verify success message","user_role: admin, component_id: 4043",The goal should be successfully createed and reflected in the Integrations dashboard.,To Do
Test,VWO - Heatmaps: Verify user can toggle campaign - ID_0212,This test case validates the toggle functionality for the campaign component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Toggle action on Campaign
4. Verify success message","user_role: admin, component_id: 7151",The campaign should be successfully toggleed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Surveys: Verify user can create snapshot - ID_0213,This test case validates the create functionality for the snapshot component within the Surveys module of app.vwo.com.,Medium,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Create action on Snapshot
4. Verify success message","user_role: admin, component_id: 3868",The snapshot should be successfully createed and reflected in the Surveys dashboard.,To Do
Test,VWO - Surveys: Verify user can delete dashboard widget - ID_0214,This test case validates the delete functionality for the dashboard widget component within the Surveys module of app.vwo.com.,Critical,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Delete action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 3253",The dashboard widget should be successfully deleteed and reflected in the Surveys dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can delete api key - ID_0215,This test case validates the delete functionality for the api key component within the Funnel Analysis module of app.vwo.com.,High,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Delete action on API Key
4. Verify success message","user_role: admin, component_id: 9967",The api key should be successfully deleteed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Account Settings: Verify user can search api key - ID_0216,This test case validates the search functionality for the api key component within the Account Settings module of app.vwo.com.,Low,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Search action on API Key
4. Verify success message","user_role: admin, component_id: 9551",The api key should be successfully searched and reflected in the Account Settings dashboard.,To Do
Test,VWO - Session Recordings: Verify user can filter user role - ID_0217,This test case validates the filter functionality for the user role component within the Session Recordings module of app.vwo.com.,Low,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Filter action on User Role
4. Verify success message","user_role: admin, component_id: 5050",The user role should be successfully filtered and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Surveys: Verify user can delete goal - ID_0218,This test case validates the delete functionality for the goal component within the Surveys module of app.vwo.com.,Medium,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Delete action on Goal
4. Verify success message","user_role: admin, component_id: 3036",The goal should be successfully deleteed and reflected in the Surveys dashboard.,To Do
Test,VWO - Surveys: Verify user can toggle goal - ID_0219,This test case validates the toggle functionality for the goal component within the Surveys module of app.vwo.com.,High,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Toggle action on Goal
4. Verify success message","user_role: admin, component_id: 8726",The goal should be successfully toggleed and reflected in the Surveys dashboard.,To Do
Test,VWO - Signup: Verify user can edit api key - ID_0220,This test case validates the edit functionality for the api key component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Edit action on API Key
4. Verify success message","user_role: admin, component_id: 9993",The api key should be successfully edited and reflected in the Signup dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can edit snapshot - ID_0221,This test case validates the edit functionality for the snapshot component within the Funnel Analysis module of app.vwo.com.,High,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Edit action on Snapshot
4. Verify success message","user_role: admin, component_id: 7164",The snapshot should be successfully edited and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Integrations: Verify user can view dashboard widget - ID_0222,This test case validates the view functionality for the dashboard widget component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform View action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 6864",The dashboard widget should be successfully viewed and reflected in the Integrations dashboard.,To Do
Test,VWO - A/B Testing: Verify user can export user role - ID_0223,This test case validates the export functionality for the user role component within the A/B Testing module of app.vwo.com.,Medium,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Export action on User Role
4. Verify success message","user_role: admin, component_id: 6327",The user role should be successfully exported and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Surveys: Verify user can create user role - ID_0224,This test case validates the create functionality for the user role component within the Surveys module of app.vwo.com.,Critical,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Create action on User Role
4. Verify success message","user_role: admin, component_id: 3349",The user role should be successfully createed and reflected in the Surveys dashboard.,To Do
Test,VWO - A/B Testing: Verify user can export goal - ID_0225,This test case validates the export functionality for the goal component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 3869",The goal should be successfully exported and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can export goal - ID_0226,This test case validates the export functionality for the goal component within the Funnel Analysis module of app.vwo.com.,Medium,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 5572",The goal should be successfully exported and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can search variation - ID_0227,This test case validates the search functionality for the variation component within the Funnel Analysis module of app.vwo.com.,Critical,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Search action on Variation
4. Verify success message","user_role: admin, component_id: 9136",The variation should be successfully searched and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Signup: Verify user can view api key - ID_0228,This test case validates the view functionality for the api key component within the Signup module of app.vwo.com.,Medium,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform View action on API Key
4. Verify success message","user_role: admin, component_id: 3698",The api key should be successfully viewed and reflected in the Signup dashboard.,To Do
Test,VWO - Integrations: Verify user can search api key - ID_0229,This test case validates the search functionality for the api key component within the Integrations module of app.vwo.com.,Critical,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Search action on API Key
4. Verify success message","user_role: admin, component_id: 3044",The api key should be successfully searched and reflected in the Integrations dashboard.,To Do
Test,VWO - A/B Testing: Verify user can edit goal - ID_0230,This test case validates the edit functionality for the goal component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Edit action on Goal
4. Verify success message","user_role: admin, component_id: 1718",The goal should be successfully edited and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Signup: Verify user can toggle dashboard widget - ID_0231,This test case validates the toggle functionality for the dashboard widget component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Toggle action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 9234",The dashboard widget should be successfully toggleed and reflected in the Signup dashboard.,To Do
Test,VWO - Surveys: Verify user can filter segment - ID_0232,This test case validates the filter functionality for the segment component within the Surveys module of app.vwo.com.,Medium,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Filter action on Segment
4. Verify success message","user_role: admin, component_id: 7897",The segment should be successfully filtered and reflected in the Surveys dashboard.,To Do
Test,VWO - Session Recordings: Verify user can export goal - ID_0233,This test case validates the export functionality for the goal component within the Session Recordings module of app.vwo.com.,Critical,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 5273",The goal should be successfully exported and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Signup: Verify user can view campaign - ID_0234,This test case validates the view functionality for the campaign component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform View action on Campaign
4. Verify success message","user_role: admin, component_id: 8835",The campaign should be successfully viewed and reflected in the Signup dashboard.,To Do
Test,VWO - Surveys: Verify user can delete snapshot - ID_0235,This test case validates the delete functionality for the snapshot component within the Surveys module of app.vwo.com.,Medium,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Delete action on Snapshot
4. Verify success message","user_role: admin, component_id: 8829",The snapshot should be successfully deleteed and reflected in the Surveys dashboard.,To Do
