id,jira_id,summary,module,priority,severity,labels,preconditions,steps,expected_result,test_type,owner,sprint,status
TC-00133,VWO-2520,Verify dragging hero image resizes preserving aspect ratio (smoke),Editor,P2,Major,gdpr|regression|ui,Editor loaded,1. Drag corner of image,Aspect ratio preserved,UI,arjun.kapoor,VWO-25.S37,Active
TC-00134,VWO-2770,Verify segment preview shows estimated visitor count (regression),Segmentation,P2,Minor,billing|regression|security|ui,Segment Draft,1. Click Preview,Estimated count + sample sessions shown,Functional,ishaan.mehta,VWO-25.S19,Active
TC-00135,VWO-2618,Verify form-submit goal report shows per-variation breakdown (p0),Goals,P1,Blocker,mobile|performance|regression|smoke,Goal hit by 1k visitors,1. Open report,Per-variation conversion shown,Functional,neha.khanna,VWO-25.S09,Active
TC-00136,VWO-5782,Verify Bayesian probability shown for campaign #9758 (p1),Reports,P0,Major,billing|regression,Campaign 9758 report ready,1. Open report,P(best) per variation | Confidence label,Functional,vikram.singh,VWO-25.S21,Active
TC-00137,VWO-2842,Verify deleting Heatmap removes it from list (critical-path),Heatmaps,P1,Trivial,edge|regression,Heatmap exists,1. Open settings || 2. Delete,Heatmap removed | Cannot be recovered,Functional,promode.dutta,VWO-25.S41,Active
TC-00138,VWO-1653,Verify adding new credit card via Stripe iframe (edge case),Billing,P2,Major,accessibility|billing|security,No card on file,1. Click Add Card || 2. Enter Stripe test card || 3. Save,"Card added, last4 shown",Security,promode.dutta,VWO-25.S35,Active
TC-00139,VWO-3495,Verify form-submit goal counts /signup form submissions (boundary),Goals,P1,Major,api|edge|i18n|mobile|regression,Form on /signup,1. Add form-submit goal selector=#signup-form || 2. Submit form,Conversion logged,Functional,sara.patel,VWO-25.S10,Active
TC-00140,VWO-4454,Verify 301 redirect option in Split URL test #8848 (negative),Split URL,P2,Major,billing|firefox|regression|security,Split URL 8848 draft,1. Open /campaigns/split/8848/settings || 2. Set redirect type = 301 || 3. Save,Variant pages return HTTP 301 with Location header,Functional,arjun.kapoor,VWO-25.S13,Active
TC-00141,VWO-1395,Verify Heatmap on React SPA captures clicks across route changes (positive),Heatmaps,P1,Major,i18n|regression,SPA with history pushState,1. Create Heatmap,Clicks captured per route,Functional,riya.sharma,VWO-25.S10,Active
TC-00142,VWO-5972,Verify Device=mobile condition in segment (retry),Segmentation,P1,Major,accessibility|mobile,Segment Draft,1. Add device=mobile || 2. Save,Saved correctly,Functional,promode.dutta,VWO-25.S39,Active
TC-00143,VWO-1100,Verify Personalization campaign for 'Mobile only' audience (low-bandwidth),Personalization,P1,Blocker,chrome|regression|sanity,User logged in | SmartCode installed,1. Navigate /campaigns/personalize/new || 2. Pick audience 'Mobile only' || 3. Add change || 4. Save,Campaign saved | Targets only that audience,Functional,promode.dutta,VWO-25.S09,Active
TC-00144,VWO-3173,Verify creating page-visit goal in campaign #1221 (high-load),Goals,P3,Critical,performance|regression,Campaign 1221 Draft,1. Open /campaigns/1221/goals || 2. Click Add Goal || 3. Pick type page-visit || 4. Configure || 5. Save,Goal saved with type page-visit | Visible in goals list,Functional,vikram.singh,VWO-25.S46,Active
TC-00145,VWO-4947,Verify fallback admin can login with password when SSO down (rtl locale),SSO,P2,Trivial,api|chrome|mobile|security|smoke,SSO IdP unreachable,1. Login as fallback admin with password,Login allowed for fallback only,Security,neha.khanna,VWO-25.S22,Active
TC-00146,VWO-3767,Verify editing click goal name updates campaign report (en-US),Goals,P1,Major,mobile|regression,Campaign 1347 has goal,1. Open goal || 2. Rename || 3. Save,Name updated everywhere,Functional,sara.patel,VWO-25.S10,Active
TC-00147,VWO-5559,Verify traffic split must total 100% across variations (en-GB),AB Testing,P3,Minor,firefox|regression|ui,User in /campaigns/ab/new editor,1. Set Variation A=40% || 2. Set Variation B=40% || 3. Click Save,Validation error 'Splits must equal 100%' | Save blocked,Negative,arjun.kapoor,VWO-25.S08,Active
TC-00148,VWO-5805,Verify DELETE /api/v1/campaigns/{id} archives (fr-FR),API,P1,Major,api|i18n|security,Campaign exists,1. DELETE,204 No Content; campaign archived,API,riya.sharma,VWO-25.S03,Active
TC-00149,VWO-3184,Verify export-CSV downloads complete report data (de-DE),Reports,P2,Minor,edge|firefox|regression|ui,Report ready,1. Click Export > CSV,"CSV with all goals, variations, dates",Functional,anika.bose,VWO-25.S44,Active
TC-00150,VWO-2759,Verify changing font family on heading saves correct CSS (ja-JP),Editor,P3,Minor,api|regression|safari,Editor loaded,"1. Pick H2, change font || 2. Save",CSS rule emitted,Functional,promode.dutta,VWO-25.S10,Active
TC-00151,VWO-1927,Verify filter Duration > 5min on recordings list (hi-IN),Session Recordings,P2,Minor,api|chrome|regression|safari|sanity,Recordings exist,1. Apply duration > 5 min,Only long sessions returned,Functional,riya.sharma,VWO-25.S08,Archived
TC-00152,VWO-4771,Verify dragging hero image resizes preserving aspect ratio (pt-BR),Editor,P1,Major,accessibility|api|mobile|ui,Editor loaded,1. Drag corner of image,Aspect ratio preserved,UI,sara.patel,VWO-25.S39,Active
TC-00153,VWO-1418,Verify funnel save blocked when only 1 step provided (Chrome),Funnels,P2,Major,gdpr|regression,User on /funnels/new,1. Add 1 step || 2. Save,Error 'At least 2 steps required',Negative,ishaan.mehta,VWO-25.S25,Active
TC-00154,VWO-5604,Verify scheduling weekly email digest of report (Firefox),Reports,P2,Minor,edge|regression,Report ready,1. Click Schedule Email || 2. Pick weekly,"Email scheduled, first run logged",Functional,harsh.gupta,VWO-25.S06,Active
TC-00155,VWO-1389,Verify malicious script in Code Editor is sanitized on render (Safari),AB Testing,P1,Critical,mobile|security|smoke,A/B editor open,1. Paste '<script>alert(1)</script>' into HTML node || 2. Save || 3. Preview,Script tags HTML-encoded | No alert fires,Security,sara.patel,VWO-25.S16,Draft
TC-00156,VWO-1117,Verify filtering goal report by date range last 7d (Edge),Goals,P2,Major,regression|ui,Goal report,1. Apply Last 7 days,Numbers reflect 7d only,Functional,sara.patel,VWO-25.S24,Active
TC-00157,VWO-3443,Verify share-link for campaign report (read-only) (mobile-web),Reports,P3,Minor,mobile|security,Report ready,1. Click Share > Public link,Anonymous viewer can read but not edit,Security,vikram.singh,VWO-25.S10,Active
TC-00158,VWO-3558,Verify Heatmap creation on URL '/' (tablet),Heatmaps,P2,Minor,dataloss|firefox|regression,SmartCode installed | Heatmap quota available,1. Navigate /heatmaps/new || 2. Enter URL / || 3. Save,Heatmap recording starts | Page status = Active,Functional,arjun.kapoor,VWO-25.S31,Active
TC-00159,VWO-1082,Verify export-PDF renders chart images (slow 3G),Reports,P2,Major,api|regression,Report ready,1. Click Export > PDF,PDF includes charts and tables,Functional,promode.dutta,VWO-25.S19,Active
TC-00160,VWO-3976,Verify Forms analytics creation on '/signup' page (offline-online),Forms,P3,Blocker,accessibility|regression,SmartCode installed,1. Navigate /forms/new || 2. Enter URL /signup || 3. Pick form selector || 4. Save,Forms analytics active for /signup,Functional,kavya.iyer,VWO-25.S11,Active
TC-00161,VWO-3634,Verify input fields with class 'sensitive' are masked in recording (re-entry),Session Recordings,P2,Trivial,i18n|mobile|security,SmartCode mask config set,"1. Visit site, type into .sensitive input || 2. Open recording",Field shows asterisks | Plain text not stored,Security,harsh.gupta,VWO-25.S17,Active
TC-00162,VWO-2696,Verify Bayesian probability shown for campaign #5453 (after refresh),Reports,P2,Trivial,mobile|regression,Campaign 5453 report ready,1. Open report,P(best) per variation | Confidence label,Functional,ishaan.mehta,VWO-25.S26,Active
TC-00163,VWO-3056,Verify scheduled Personalization activates at start time (clean install),Personalization,P3,Trivial,accessibility|dataloss|integration|regression|safari,Personalize Draft,1. Set Start = +30m || 2. Save & Schedule,"Status Scheduled, then Running at start",Functional,riya.sharma,VWO-25.S45,Active
TC-00164,VWO-1450,Verify Heatmap creation on URL '/pricing' (after upgrade),Heatmaps,P3,Minor,edge|regression,SmartCode installed | Heatmap quota available,1. Navigate /heatmaps/new || 2. Enter URL /pricing || 3. Save,Heatmap recording starts | Page status = Active,Functional,riya.sharma,VWO-25.S07,Active
TC-00165,VWO-4018,Verify skip logic in likert survey skips Q3 if Q2='No' (cold start),Surveys,P3,Blocker,performance|regression,Survey Draft,1. Add skip rule Q2=No -> skip Q3 || 2. Launch,Q3 hidden when Q2 answered 'No',Functional,kavya.iyer,VWO-25.S07,Active
TC-00166,VWO-2252,Verify duplicating revenue goal copies all settings (warm cache),Goals,P2,Minor,gdpr|regression,Campaign has revenue goal,1. Click duplicate,Copy created with same config,Functional,neha.khanna,VWO-25.S06,Active
TC-00167,VWO-3052,Verify mobile preview iframe respects mobile viewport (cookieless),AB Testing,P2,Major,mobile|safari,A/B editor open,1. Switch preview to mobile || 2. Choose iPad,Iframe resizes to viewport dims | Touch events emulated,UI,vikram.singh,VWO-25.S09,Active
TC-00168,VWO-5960,Verify A/B test creation with 3 variations on Opera (third-party blocked),AB Testing,P1,Minor,api|performance|regression,User logged in to app.vwo.com | SmartCode installed on test site,1. Navigate to /campaigns/ab/new || 2. Enter campaign name 'AB Test {0}' || 3. Add 3 variations || 4. Set traffic split to equal || 5. Click 'Save & Launch',A/B test created with 3 variations | Redirect to /campaigns/{id}/overview,Functional,anika.bose,VWO-25.S06,Active
TC-00169,VWO-4720,Verify regex target matches multiple control URLs in Split URL (strict CSP),Split URL,P2,Minor,firefox|regression|safari,Split URL Draft,1. Set target pattern '^/blog/.+' || 2. Add variant rewrite || 3. Save,All blog post URLs split | Other paths unaffected,Functional,vikram.singh,VWO-25.S29,Active
TC-00170,VWO-5463,Verify A/B test name accepts exactly 80 characters (role: Viewer),AB Testing,P1,Major,gdpr|regression|sanity|security,User on /campaigns/ab/new,1. Enter 80-char name || 2. Save,Save succeeds | Name stored as entered,Boundary,dev.ranganathan,VWO-25.S24,Active
TC-00171,VWO-2701,Verify bookmark on recording moves it to Bookmarked tab (role: Viewer),Session Recordings,P2,Major,api|integration|regression|smoke|ui,Recording open,1. Click Bookmark,Recording appears under Bookmarked,Functional,neha.khanna,VWO-25.S49,Active
TC-00172,VWO-2764,Verify connecting Slack with bad token shows error (role: Admin),Integrations,P1,Major,dataloss|edge|gdpr|safari|security,User on connect screen,1. Enter invalid API key || 2. Save,Inline error 'Invalid token',Negative,anika.bose,VWO-25.S09,Active
TC-00173,VWO-2787,Verify renaming A/B campaign updates breadcrumb and URL slug (role: Editor),AB Testing,P3,Minor,accessibility|gdpr|security|ui,Campaign 9289 exists,1. Open /campaigns/9289/settings || 2. Edit name to 'Q3 Hero Variant' || 3. Save,Breadcrumb shows new name | Slug updated in URL,Functional,arjun.kapoor,VWO-25.S07,Active
TC-00174,VWO-4238,Verify drop-off percentages between steps in funnel report (EU DC),Funnels,P2,Major,gdpr|regression|sanity|security|ui,Funnel ran 7d,1. Open report,Each step shows drop-off % | Sum reaches final conversion,Functional,aditya.rao,VWO-25.S30,Active
TC-00175,VWO-5906,Verify event-based funnel step tracks 'Add to Cart' (US DC),Funnels,P2,Major,chrome|integration|performance|regression|ui,Custom event registered,1. Add event step 'AddToCart' || 2. Save,Event step counted in funnel,Functional,vikram.singh,VWO-25.S39,Active
TC-00176,VWO-3863,Verify pausing running A/B test stops new visitor bucketing (Asia DC),AB Testing,P2,Blocker,performance|regression|smoke,Campaign 3551 status = Running,1. Open /campaigns/3551/overview || 2. Click 'Pause' || 3. Confirm modal,Status = Paused | No new visitors recorded after pause timestamp,Functional,sara.patel,VWO-25.S31,Active
TC-00177,VWO-5730,Verify FullStack .NET SDK initialises with config JSON (smoke),FullStack,P3,Minor,api|regression,.NET server running,1. Init VWO client,Client ready | No errors,Functional,anika.bose,VWO-25.S12,Active
TC-00178,VWO-3068,Verify AND/OR groups in Segment Builder (regression),Segmentation,P1,Minor,chrome|regression|security,Segment Draft,1. Add (Country=US AND Plan=Pro) OR Country=CA || 2. Save,Logic stored correctly,Functional,sara.patel,VWO-25.S34,Active
TC-00179,VWO-3769,Verify video-play goal triggers on YouTube embed play (p0),Goals,P1,Minor,billing|i18n|integration|regression|security,YouTube iframe on page,1. Add video goal || 2. Play video,Conversion recorded,Functional,vikram.singh,VWO-25.S27,Active
TC-00180,VWO-3635,Verify MVT preview lets QA pick any combination (p1),MVT,P2,Blocker,gdpr|smoke,MVT Draft,1. Click Preview || 2. Pick combination 'A2-B1-C2',Preview URL renders that combination,Functional,dev.ranganathan,VWO-25.S13,Active
TC-00181,VWO-3822,Verify exit-intent trigger on likert survey (critical-path),Surveys,P1,Trivial,api|e2e|regression,Survey Draft,1. Trigger=Exit Intent || 2. Launch,Survey appears when mouse leaves viewport,Functional,harsh.gupta,VWO-25.S48,Draft
TC-00182,VWO-5872,Verify renaming A/B campaign updates breadcrumb and URL slug (edge case),AB Testing,P2,Major,accessibility|billing|performance|security|ui,Campaign 2861 exists,1. Open /campaigns/2861/settings || 2. Edit name to 'Q3 Hero Variant' || 3. Save,Breadcrumb shows new name | Slug updated in URL,Functional,harsh.gupta,VWO-25.S13,Active
TC-00183,VWO-2484,Verify date-range filter Last 7 days on report (boundary),Reports,P3,Trivial,billing|firefox|regression,Report ready,1. Apply Last 7 days,Data limited to last 7 days,Functional,promode.dutta,VWO-25.S24,Active
TC-00184,VWO-2437,Verify previewing Split URL variant opens variant page (negative),Split URL,P3,Minor,edge|gdpr|i18n|safari|smoke,Split URL test in editor,1. Click Preview > Variant 1,Variant URL opens in new tab with QA banner,Functional,aditya.rao,VWO-25.S27,Active
TC-00185,VWO-4330,Verify Validate Installation succeeds on test site (positive),SmartCode,P2,Major,accessibility|billing|firefox|i18n|regression,Snippet inserted on https://test,1. Click Validate || 2. Enter URL,Status = Installed,Functional,arjun.kapoor,VWO-25.S35,Active
TC-00186,VWO-5442,Verify error banner when Pardot token expired (retry),Integrations,P3,Trivial,sanity|ui,Pardot token expired,1. Open integrations,Banner 'Reauthorize Pardot',UI,riya.sharma,VWO-25.S52,Active
TC-00187,VWO-3470,Verify A/B campaign report loads under 3 seconds for 1M visitors (low-bandwidth),AB Testing,P3,Minor,accessibility|billing|performance|ui,Campaign 2698 has 1M+ visitors,1. Open /campaigns/2698/report,Report renders within 3s | All goal cards present,Performance,ishaan.mehta,VWO-25.S15,Draft
TC-00188,VWO-5607,Verify rotating account key forces snippet reinstall (high-load),SmartCode,P3,Major,edge|firefox|mobile|regression|security,Active key,1. Click Rotate || 2. Confirm,New key issued; old stops within 24h,Security,aditya.rao,VWO-25.S27,Active
TC-00189,VWO-2400,Verify thank-you screen renders after open-text submit (rtl locale),Surveys,P2,Major,i18n|regression,Survey Draft,1. Customize thank-you || 2. Save || 3. Submit answer,Custom thank-you visible,Functional,sara.patel,VWO-25.S44,Draft
TC-00190,VWO-5679,Verify Variation Editor loads target URL in iframe (en-US),Editor,P3,Minor,i18n|safari|security|ui,A/B Draft,1. Open editor,Iframe renders site | Toolbar visible,UI,harsh.gupta,VWO-25.S39,Active
TC-00191,VWO-4860,Verify duplicating MVT preserves all sections and variants (en-GB),MVT,P1,Minor,accessibility|regression|security,MVT Draft 3x2,1. Click Duplicate || 2. Save,New MVT has identical structure,Functional,dev.ranganathan,VWO-25.S28,Active
TC-00192,VWO-2584,Verify GET /api/v1/campaigns/{id}/report returns goal stats (fr-FR),API,P3,Major,api|dataloss|ui,Campaign ran 24h,1. GET report,200 with conversions per variation,API,riya.sharma,VWO-25.S46,Active
TC-00193,VWO-3755,Verify Browser tab on report breaks down by browser (de-DE),Reports,P2,Trivial,gdpr|regression|sanity,Report ready,1. Open Browser tab,Per-browser stats shown,Functional,arjun.kapoor,VWO-25.S21,Active
TC-00194,VWO-1241,Verify Copy SmartCode button copies snippet to clipboard (ja-JP),SmartCode,P0,Minor,gdpr|smoke,Account created,1. Open /smartcode || 2. Click Copy,Snippet copied; toast 'Copied',Functional,dev.ranganathan,VWO-25.S46,Active
TC-00195,VWO-4844,Verify Heatmap creation on URL '/blog' (hi-IN),Heatmaps,P2,Critical,billing|mobile|regression|security,SmartCode installed | Heatmap quota available,1. Navigate /heatmaps/new || 2. Enter URL /blog || 3. Save,Heatmap recording starts | Page status = Active,Functional,anika.bose,VWO-25.S50,Active
TC-00196,VWO-1682,Verify query params preserved across Split URL redirect (pt-BR),Split URL,P2,Critical,chrome|regression|sanity|smoke,Split URL test running,1. Open /pricing?utm_source=email || 2. Trigger redirect,Variant URL retains ?utm_source=email,Functional,sara.patel,VWO-25.S50,Active
TC-00197,VWO-3294,Verify Preview mode renders Variation B without affecting visitors (Chrome),AB Testing,P3,Critical,i18n|integration|regression|smoke|ui,A/B test in Draft,1. Click Preview || 2. Choose Variation B || 3. Open generated preview URL,Variation B rendered with debug bar | No bucket entry recorded,Functional,vikram.singh,VWO-25.S14,Active
TC-00198,VWO-3412,Verify invalid password shows generic error message (Firefox),Auth,P2,Minor,billing|e2e|security,Active user,1. Login with wrong password,Generic 'Invalid credentials' message | No user-existence leak,Security,sara.patel,VWO-25.S25,Active
TC-00199,VWO-5233,Verify connecting Hubspot integration via OAuth (Safari),Integrations,P3,Minor,edge|integration|regression,User has Admin role,1. Navigate /integrations/hubspot || 2. Click Connect || 3. Authorize,Integration shown as Connected | Audit log entry,Integration,promode.dutta,VWO-25.S08,Active
TC-00200,VWO-4601,Verify device targeting limits A/B test to Android phone only (Edge),AB Testing,P2,Critical,api|mobile|regression|sanity,A/B campaign Draft,1. Open Targeting > Device || 2. Select desktop || 3. Save,Bucket only when device matches | Other devices skip the test,Functional,ishaan.mehta,VWO-25.S02,Active
TC-00201,VWO-4476,Verify deep link from VWO report to Pardot dashboard (mobile-web),Integrations,P3,Major,e2e|i18n|integration|ui,Pardot connected,1. Open report > 'View in Pardot',Opens vendor dashboard in new tab,UI,riya.sharma,VWO-25.S23,Active
TC-00202,VWO-3840,Verify GEO targeting limits A/B test to country IN (tablet),AB Testing,P1,Minor,chrome|i18n|regression|safari|ui,IP-to-Geo enabled,1. Add condition Country=IN || 2. Save,Indian IPs bucketed | Non-IN ignored,Functional,aditya.rao,VWO-25.S28,Archived
TC-00203,VWO-1704,Verify filtering /api/v1/campaigns?status=running (slow 3G),API,P2,Critical,api|chrome|dataloss|security|smoke,Mixed-status campaigns,1. GET with status=running,Only running returned,API,anika.bose,VWO-25.S05,Active
TC-00204,VWO-3541,Verify detaching scroll-depth goal from campaign keeps goal alive (offline-online),Goals,P3,Minor,regression|ui,Goal attached,1. Open goal || 2. Detach,Goal still exists; campaign unlinked,Functional,vikram.singh,VWO-25.S26,Archived
TC-00205,VWO-3259,Verify duplicate of A/B campaign copies variations and goals (re-entry),AB Testing,P1,Major,e2e|performance|regression|safari,Campaign 4046 exists with 3 variations and 2 goals,1. Open /campaigns/4046 || 2. Click overflow > Duplicate || 3. Enter new name,New campaign created with 3 variations + 2 goals | Status = Draft,Functional,harsh.gupta,VWO-25.S01,Active
TC-00206,VWO-4468,Verify segment preview shows estimated visitor count (after refresh),Segmentation,P2,Major,billing|i18n|regression|sanity,Segment Draft,1. Click Preview,Estimated count + sample sessions shown,Functional,riya.sharma,VWO-25.S36,Active
TC-00207,VWO-5704,Verify warning banner when SmartCode missing on test URL (clean install),AB Testing,P1,Major,gdpr|regression,"A/B campaign Draft, SmartCode not installed",1. Click Validate URL,Banner 'SmartCode not detected' | Launch button disabled,Negative,dev.ranganathan,VWO-25.S25,Active
TC-00208,VWO-4341,Verify 5-step funnel creation (after upgrade),Funnels,P2,Minor,accessibility|regression|smoke,User logged in,1. Navigate /funnels/new || 2. Add 5 URL steps || 3. Save,Funnel saved | Visualization renders,Functional,aditya.rao,VWO-25.S19,Archived
TC-00209,VWO-4129,Verify comparing two segments on the same funnel (cold start),Funnels,P2,Critical,chrome|edge|regression|safari,Funnel report ready,1. Add segment Desktop alongside Mobile,Side-by-side comparison view,Functional,sara.patel,VWO-25.S47,Active
TC-00210,VWO-2987,Verify enabling TOTP 2FA on account (warm cache),Auth,P1,Minor,e2e|integration|security|ui,Logged in,1. Open security settings || 2. Scan QR || 3. Enter code,2FA enabled badge shown,Security,promode.dutta,VWO-25.S26,Active
TC-00211,VWO-3103,Verify combination matrix shows all permutations for MVT (cookieless),MVT,P0,Blocker,mobile|performance|regression|sanity|security,MVT Draft 3x3,1. Open Combinations tab,27 combinations listed | Disable individual combos works,Functional,riya.sharma,VWO-25.S21,Active
TC-00212,VWO-1526,Verify gradual rollout slider 25% to 100% over time (third-party blocked),Personalization,P3,Minor,chrome|regression,Personalize running at 25%,1. Move slider to 100% || 2. Save,100% audience now bucketed,Functional,promode.dutta,VWO-25.S45,Active
TC-00213,VWO-4269,Verify NPS survey triggers after 30s on page (strict CSP),Surveys,P0,Major,api|chrome|e2e|regression|security,Survey Draft,1. Set trigger Time on page=30s || 2. Launch,Survey opens at 30s mark,Functional,harsh.gupta,VWO-25.S40,Active
TC-00214,VWO-3501,Verify page-visit goal regex '/thank-you.*' matches (IE-removed),Goals,P3,Minor,billing|dataloss|mobile|regression|ui,Campaign Draft,1. Add page-visit goal regex || 2. Save,/thank-you?ref=x triggers conversion,Functional,sara.patel,VWO-25.S41,Draft
TC-00215,VWO-4211,Verify MVT supports max 5 sections (role: Viewer),MVT,P3,Major,edge|firefox|regression|sanity,MVT Draft with 4 sections,1. Add 5th section || 2. Save,"Save succeeds, 5 sections stored | Adding 6th shows error",Boundary,ishaan.mehta,VWO-25.S06,Active
TC-00216,VWO-5946,Verify cookie 'plan=premium' condition in segment (role: Admin),Segmentation,P2,Critical,accessibility|e2e|regression,Segment Draft,1. Add cookie condition || 2. Save,Saved,Functional,ishaan.mehta,VWO-25.S01,Active
TC-00217,VWO-5273,Verify POST /api/v1/campaigns creates a Draft A/B (role: Editor),API,P2,Major,api|e2e|firefox,Token has write scope,1. POST with JSON body,201 Created with id,API,kavya.iyer,VWO-25.S33,Active
TC-00218,VWO-3391,Verify scrollmap rendering for '/signup' (EU DC),Heatmaps,P3,Critical,accessibility|performance|ui,Heatmap recorded 1k+ sessions,1. Open Heatmap || 2. Switch to Scrollmap,Color gradient overlays page | Avg fold depth shown,UI,aditya.rao,VWO-25.S40,Active
TC-00219,VWO-2670,Verify video-play goal triggers on YouTube embed play (US DC),Goals,P1,Major,e2e|regression|ui,YouTube iframe on page,1. Add video goal || 2. Play video,Conversion recorded,Functional,anika.bose,VWO-25.S07,Draft
TC-00220,VWO-5163,Verify renaming A/B campaign updates breadcrumb and URL slug (Asia DC),AB Testing,P1,Critical,accessibility|api|ui,Campaign 8550 exists,1. Open /campaigns/8550/settings || 2. Edit name to 'Q3 Hero Variant' || 3. Save,Breadcrumb shows new name | Slug updated in URL,Functional,vikram.singh,VWO-25.S28,Active
TC-00221,VWO-2072,Verify cookie 'plan=premium' condition in segment (smoke),Segmentation,P0,Major,accessibility|firefox|gdpr|performance|regression,Segment Draft,1. Add cookie condition || 2. Save,Saved,Functional,anika.bose,VWO-25.S25,Active
TC-00222,VWO-2719,Verify deactivating user revokes sessions immediately (regression),Admin,P1,Major,mobile|security,Active user,1. Click Deactivate,Sessions revoked; cannot log in,Security,riya.sharma,VWO-25.S44,Active
TC-00223,VWO-1077,Verify A/B test on HTTPS site does not trigger mixed-content warning (p0),AB Testing,P1,Trivial,chrome|integration|mobile|security|ui,SmartCode loaded over HTTPS,1. Open test URL in Firefox || 2. Open DevTools console,No mixed-content warnings | All assets served over HTTPS,Security,sara.patel,VWO-25.S26,Active
TC-00224,VWO-2977,Verify filtering report by 'Mobile' segment (p1),Reports,P3,Major,mobile|ui,Report ready,1. Apply segment Mobile,Numbers update for mobile only,Functional,dev.ranganathan,VWO-25.S19,Active
TC-00225,VWO-4393,Verify WYSIWYG drag-resize on hero image variation (critical-path),AB Testing,P1,Major,i18n|regression|safari|security|ui,Editor in WYSIWYG mode,1. Select hero image || 2. Drag to 80% width || 3. Save,Image saves at 80% width | CSS rule emitted,UI,promode.dutta,VWO-25.S43,Active
TC-00226,VWO-3740,Verify QA Mode forces variation via cookie _vwo_qa for Chrome (edge case),AB Testing,P0,Blocker,api|regression|ui,Chrome has VWO QA cookie set,1. Open test URL || 2. Reload 5 times,Same variation shown each reload | QA banner visible,Functional,neha.khanna,VWO-25.S15,Active
TC-00227,VWO-2005,Verify side-by-side variation comparison view in report (boundary),Reports,P3,Major,chrome|edge|integration|regression,Report ready,1. Switch to Compare view,Variations listed in columns with deltas,Functional,vikram.singh,VWO-25.S35,Active
TC-00228,VWO-5444,Verify custom CSS injection scope is limited to variation (negative),AB Testing,P2,Blocker,edge|integration|regression,A/B test editor open,1. Add CSS '.hero{background:red}' || 2. Save || 3. Open Variation B preview,Variation A: red hero | Variation B: unchanged,Functional,ishaan.mehta,VWO-25.S43,Archived
TC-00229,VWO-3728,Verify creating an audience segment via Segment Builder (positive),Segmentation,P2,Minor,chrome|regression,User logged in,1. Navigate /segments/new || 2. Add condition || 3. Save,Segment saved | Available in audience picker,Functional,sara.patel,VWO-25.S41,Active
TC-00230,VWO-4140,Verify custom CSS injection scope is limited to variation (retry),AB Testing,P1,Blocker,i18n|regression,A/B test editor open,1. Add CSS '.hero{background:red}' || 2. Save || 3. Open Variation B preview,Variation A: red hero | Variation B: unchanged,Functional,vikram.singh,VWO-25.S40,Active
TC-00231,VWO-4936,Verify admin IP allowlist blocks logins from outside (low-bandwidth),Admin,P2,Minor,api|e2e|firefox|gdpr|security,Allowlist set,1. Login from IP not on list,Login blocked with message,Security,riya.sharma,VWO-25.S01,Active
TC-00232,VWO-3604,Verify warning banner when SmartCode missing on test URL (high-load),AB Testing,P1,Major,chrome|edge|regression|smoke,"A/B campaign Draft, SmartCode not installed",1. Click Validate URL,Banner 'SmartCode not detected' | Launch button disabled,Negative,neha.khanna,VWO-25.S01,Active
TC-00233,VWO-5183,Verify click goal CSS selector '#cta-buy' captures clicks (rtl locale),Goals,P2,Major,chrome|regression,Campaign Draft,1. Add click goal selector=#cta-buy || 2. Save || 3. Trigger click,Click counted as conversion,Functional,kavya.iyer,VWO-25.S10,Archived
TC-00234,VWO-2854,Verify video-play goal triggers on YouTube embed play (en-US),Goals,P2,Critical,accessibility|i18n|regression,YouTube iframe on page,1. Add video goal || 2. Play video,Conversion recorded,Functional,aditya.rao,VWO-25.S23,Active
TC-00235,VWO-2537,Verify revenue goal currency switch USD->INR (en-GB),Goals,P3,Major,api|gdpr|performance|regression,Revenue goal exists,1. Edit goal || 2. Change currency to INR || 3. Save,Goal stored with INR | Reports re-aggregate,Functional,sara.patel,VWO-25.S44,Active
TC-00236,VWO-5941,Verify Test Login button initiates OneLogin flow (fr-FR),SSO,P2,Critical,accessibility|billing|i18n|security,SSO config saved,1. Click Test Login,"Browser redirects to IdP, returns successfully",Security,neha.khanna,VWO-25.S37,Active
TC-00237,VWO-2345,Verify A/B test save fails when no variations defined (de-DE),AB Testing,P2,Major,api|firefox|mobile|regression|sanity,User on /campaigns/ab/new,1. Enter name only || 2. Click Save,Inline error 'Add at least one variation' | Save blocked,Negative,kavya.iyer,VWO-25.S02,Active
TC-00238,VWO-4523,Verify CSP nonce instructions visible in SmartCode page (ja-JP),SmartCode,P2,Major,accessibility|api|e2e|regression|security,Strict CSP,1. Open SmartCode,Nonce instructions documented,Security,neha.khanna,VWO-25.S04,Draft
TC-00239,VWO-1640,Verify Code Editor injects custom JS into Variation A (hi-IN),AB Testing,P2,Minor,performance|regression,A/B test in editor,"1. Open Code Editor for Variation A || 2. Paste 'document.title=""Test""' || 3. Save",JS saved | Preview shows updated tab title,Functional,riya.sharma,VWO-25.S48,Draft
TC-00240,VWO-3025,Verify SmartCode in iframe captures parent URL correctly (pt-BR),SmartCode,P2,Trivial,firefox|gdpr|regression,Iframe with snippet,1. Visit parent page,Reports show parent URL not iframe,Functional,anika.bose,VWO-25.S41,Active
